module,type,name,res_id,src,value,comments
account_move_import_wizard,model,"ir.actions.act_window,name",account_move_import_wizard.account_move_import_action,Import Account Moves,,
account_move_import_wizard,model,"ir.actions.act_window,name",account_move_import_wizard.account_move_import_line_action,Import Account Move Lines,,
account_move_import_wizard,model,"ir.model,name",account_move_import_wizard.model_account_move_import,Wizard to import account moves,,
account_move_import_wizard,model,"ir.model,name",account_move_import_wizard.model_account_move_import_line,Lines to import account moves,,
account_move_import_wizard,model,"ir.model.fields,field_description",account_move_import_wizard.field_account_move_import__account_move_count,# Account Moves,,
account_move_import_wizard,model,"ir.model.fields,field_description",account_move_import_wizard.field_account_move_import__activity_date_deadline,Next Activity Deadline,,
account_move_import_wizard,model,"ir.model.fields,field_description",account_move_import_wizard.field_account_move_import__activity_exception_decoration,Activity Exception Decoration,,
account_move_import_wizard,model,"ir.model.fields,help",account_move_import_wizard.field_account_move_import__activity_exception_decoration,Type of the exception activity on record.,,
account_move_import_wizard,model,"ir.model.fields,field_description",account_move_import_wizard.field_account_move_import__activity_exception_icon,Icon,,
account_move_import_wizard,model,"ir.model.fields,help",account_move_import_wizard.field_account_move_import__activity_exception_icon,Icon to indicate an exception activity.,,
account_move_import_wizard,model,"ir.model.fields,field_description",account_move_import_wizard.field_account_move_import__activity_ids,Activities,,
account_move_import_wizard,model,"ir.model.fields,field_description",account_move_import_wizard.field_account_move_import__activity_state,Activity State,,
account_move_import_wizard,model,"ir.model.fields,help",account_move_import_wizard.field_account_move_import__activity_state,"Status based on activities
Overdue: Due date is already passed
Today: Activity date is today
Planned: Future activities.",,
account_move_import_wizard,model,"ir.model.fields,field_description",account_move_import_wizard.field_account_move_import__activity_summary,Next Activity Summary,,
account_move_import_wizard,model,"ir.model.fields,field_description",account_move_import_wizard.field_account_move_import__activity_type_icon,Activity Type Icon,,
account_move_import_wizard,model,"ir.model.fields,help",account_move_import_wizard.field_account_move_import__activity_type_icon,Font awesome icon e.g. fa-tasks,,
account_move_import_wizard,model,"ir.model.fields,field_description",account_move_import_wizard.field_account_move_import__activity_type_id,Next Activity Type,,
account_move_import_wizard,model,"ir.model.fields,field_description",account_move_import_wizard.field_account_move_import__activity_user_id,Responsible User,,
account_move_import_wizard,model,"ir.model.fields,field_description",account_move_import_wizard.field_account_move_import__company_id,Company,,
account_move_import_wizard,model,"ir.model.fields,field_description",account_move_import_wizard.field_account_move_import__create_date,Created on,,
account_move_import_wizard,model,"ir.model.fields,field_description",account_move_import_wizard.field_account_move_import__create_uid,Created by,,
account_move_import_wizard,model,"ir.model.fields,field_description",account_move_import_wizard.field_account_move_import__data,File,,
account_move_import_wizard,model,"ir.model.fields,field_description",account_move_import_wizard.field_account_move_import__display_name,Display Name,,
account_move_import_wizard,model,"ir.model.fields,field_description",account_move_import_wizard.field_account_move_import__file_date,Import Date,,
account_move_import_wizard,model,"ir.model.fields,field_description",account_move_import_wizard.field_account_move_import__filename,Filename,,
account_move_import_wizard,model,"ir.model.fields,field_description",account_move_import_wizard.field_account_move_import__id,ID,,
account_move_import_wizard,model,"ir.model.fields,field_description",account_move_import_wizard.field_account_move_import__import_line_ids,Lines to Import,,
account_move_import_wizard,model,"ir.model.fields,field_description",account_move_import_wizard.field_account_move_import__journal_id,Journal,,
